,movie_id,year,title,summary
0,10439,2014,닌자 거북이,"지능을 지닌 거북이와 쥐의 정체가 발각됐다!방사성 물질로 인해 인간의 형태와 지능을 지니게 된 거북이 네 마리와 늙은 쥐 한 마리는 하수구에 숨어 살며 뉴욕의 평화를 위해 노력한다. 한편 방송국 기자인 에이프릴은 소리 없는 범죄의 피해자가 될 뻔하지만, 닌자 거북이들의 도움을 받고 위기에서 벗어나게 된다. 이 일을 통해 소리 없는 범죄의 배후인 더풋이라는 조직은 닌자 거북이들의 존재를 알게 되고 이들을 막기 위해 하수구를 습격한다."
1,10003,2015,빽 투 더 퓨쳐 2,브라운 박사(Dr. Emmett 'Doc' L. Brown: 코리스토퍼 로이드 분)와 30년 후의 미래로 온 마티(Marty McFly: 마이클 J. 폭스 분)와 제니퍼(Jennifer Parker: 엘리자베스 슈 분). 그러나 제니퍼는 타임머쉰과 미래세계에 자신이 있음에 놀라 기절한다. 아들을 깽들로부터 구하고 기절한 제니퍼를 데리고 다시 현대로 돌아온 마티와 브라운 박사는 그러나 뒤죽박죽된 세상에 소스라치게 놀란다. 아버지는 묘지에 묻혀 있고 어머니는 마티의 집에서 일하던 밥과 원치 않은 결혼을 해 으리으리한 집에 살고 있다. 바로 미래에 갔던 마티와 브라운의 타임머신을 그곳에 있던 늙은 밥이 훔쳐타고 그간에 있었던 스포츠 게임의 승부전이 있는 잡지를 60년 전 과거의 젊은 밥(Biff Tannen/Griff: 토마스 F. 윌슨 분) 자신에게 주어 도박으로 일약 부자가 된 것이다.
2,10321,2015,살인광 시대,"30년이나 은행원으로 성실하게 살아온 베르두는 불황으로 하루 아침에 실업자가 되자 새로운 사업을 시작한다. 그는 부유한 마담들이 놀고 먹는 것을 보고 그런 사회 기생충을 말살하는 것은 죄가 아니라고 생각하게 된다. 그 결과 돈있는 과부들을 설득해서 결혼한 뒤 신부를 죽임으로써 여자들의 재산을 빼앗는 것이다. 베르두는 사람을 죽여도 독이 검출되지 않는 동물 안락사용 독약의 처방을 알아낸다. 약을 실험하기 위해 거리에서 방황하는 젊은 여자를 집으로 데려오지만 그녀에게 감동해서 차마 독약을 먹이지 못하고 오히려 돈을 줘서 보낸다. 대신 그 약은 베르두를 수상히 여기고 추적하던 형사가 마시고 죽는데, 그는 심장마비로 판명된다. 베르두의 다음 계획은 그로스니 부인과의 결혼이었다. 끈질긴 구애작전 끝에 결혼식을 치루는 날, 리용에 있어야 할 몇 번째인가의 아내 보뇌 부인이 나타나서 베르두는 허둥지둥 달아나고 결혼식은 무산된다. 그로니스 부인은 그를 찾아달라고 신고하고, 경찰은 다시 수사에 착수한다. 마침내 배르두는 체포되어 길로틴의 이슬로 사라지는데, 그는 끝내 사회가 자신을 그렇게 만들었다고 믿는다."
3,16905,2015,서커스,일자리가 없어 거리를 헤매던 떠돌이 찰리는 우연히 서커스단 근처를 지나다 일을 하게 된다. 그곳에서 소품을 관리하던 찰리는 공중곡예의 일인자인 렉스와 메르나의 관계가 깊어지는 것을 보며 서커스단을 나온다. 밤이 되어 길 옆에서 혼자 불을 쬐고 있던 찰리는 서커스단에서 도망쳐 나온 메르나를 만난다. 찰리는 자기가 메르나에게 해줄 수 있는 것이라고는 그녀를 다시 렉스와 결합시켜 주는 것 밖에 없음을 절감한다. 찰리의 도움으로 사랑을 찾은 렉스와 메르나는 결혼과 함께 다시 서커스단을 찾는다. 그들이 서커스단을 따라 다음 행선지를 향해 떠나는 모습을 바라보던 찰리는 다시 새로운 방황의 길을 향해 힘찬 걸음을 내딛는다.
4,12340,2015,지존본색,"홍콩 갱스터들의 전성기가 무너진 1990년, 홍콩 전직경찰 판즈홍(만자량)은 옛 상사 브라운의 전화 한 통을 받고 급히 미국에서 귀국한다. 납치된 아들 폴을 찾아 달라는 간곡한 부탁으로 판즈홍은 납치 사건을 조사하고 일본 암흑조직의 소행임을 알게 된다. 판즈홍은 브라운의 양아들인 샤오제(유덕화)와 함께 폴을 구해내는 과정에서 상대 조직의 부하 2명을 살해하고 표적이 된다. 한편 일본 조직에 몸을 숨기고 있던 홍콩갱스터 페이(진혜민)는 판즈홍을 제거해야 하는 임무를 받지만, 의리를 지키기 위해 쉽사리 행동하지 못하고 마는데..."
5,10686,2015,천녀유혼 2 - 인간도,난악사로 가던 영채신(장국영 분)은 관군의 수배인물로 오인을 받아 잡혀간다. 수삼 중 백발의 도사를 만나 비밀스런 주술을 배워 가까스로 탈출한다. 쫓아오는 관군을 피해 도망을 치던 영채신은 숲 속에 숨어있던 청풍(왕조현 분)과 월지(이가흔 분) 자매를 만나 악한 귀신에게 잡혀간 그녀들의 부친을 구하러 가는 길에 동행한다. 아버지를 찾아가는 길 곳곳에 악귀를 만나지만 위기를 당할 때마다 이들은 합심전력으로 넘긴다. 그러나 이들 세 사람은 묘한 삼각 관계에 빠지지만 험난한 고생 속에서 깊은 인간적 애정 관계로 슬기롭게 헤쳐나간다. 갖은 고난과 방해 끝에 드디어 부친이 잡혀온 곳에 이른 세 사람은 스승(우마 분)의 결정적 도움으로 부친을 구한다. 한바탕 혈전폭풍이 지난 후에 전생과 이생의 사랑을 확인한 청풍은 닝차이션과 함께 길을 떠난다.
6,10626,2015,첩혈가두,"1967년 홍콩. 고아지만 정이 많고 총명한 아비, 직선적인 낙관주의자 아휘, 열등감이 심하고 장래에 대한 포부가 큰 아영은 우정과 의리를 중요시 여긴다. 그들의 유일한 꿈은 벤츠를 모는 의젓한 부자가 되는 것이다. 그러던 중 아비는 애인 서진이 임신하는 바람에 서둘러 결혼식을 올린다. 아휘는 급하게 결혼하게 된 아비를 위해 돈을 빌려오는 길에 아강일파와 싸움을 하게된다. 하지만 실수로 사람을 죽이게 되고 세사람은 새로운 땅 월남으로 도망간다. 사이공에 온 이들은 아영의 친척이자 킬러인 아락과 함께 달러 거래를 하는 나이트 클럽을 습격, 거액의 금괴를 탈취한다. 그러나 베트공의 공격으로 아휘는 아영을 구하려다 총상을 입고 기절한다. 하지만 가난이 죽기보다 싫었던 아영은 금괴를 가지고 홍콩에 가기위해, 다쳐서 신음하는 10년지기 친구 아휘를 총으로 쏘고 마는데..."
7,10988,2015,파리의 여인,"마리(Marie St. Clair: 에드나 퍼비안스 분)는 계부의 반대를 피해 애인 장과 도망치기로 한다. 그런데 아버지가 쓰러지는 바람에 장은 약속을 지키지 못하고, 마리 혼자 파리로 온다. 파리에서 사교계에 등장한 마리는 소문난 부자 리벨(Pierre Revel: 아돌프 멘조 분)과 가까워진다. 어느날 우연히 파티장에서 장(Jean Millet: 칼 밀러 분)과 그의 어머니를 만나고, 마리는 장의 청혼을 받아들여 결혼을 결심한다. 그러나 결혼을 반대하는 어머니에게 연민 때문에 결혼한다고 장이 말하는 것을 듣고는 결혼을 포기한다. 다시 리벨에게 돌아온 마리는 전보다 더 화려하게 그와 돌아다니고, 장은 자신의 무력감을 느기고 자살한다. 장의 시체앞에서 우는 마리를 보고 장의 어머니도 그녀를 이해하게 된다. 세월이 흘러 마음의 상처는 치유되고 마리와 장의 어머니는 시골에서 고아들을 돌본다. 어느날 마리는 마차를 타고 지나가는데 엇갈려서 리벨이 롤스로이스를 타고 지나간다. 그러나 둘은 서로를 보지 못한다."
8,10936,2014,가위손,"화장품 외판원 펙(다이안 웨스트)은 마을 언덕 외딴 성에서 상처투성이 창백한 얼굴과 날카로운 가위손 때문에 외롭게 살고 있는 에드워드(조니 뎁)를 만나 자신의 집으로 데려온다. 평범한 일상에 무료해하던 마을 사람들에게 큰 관심거리가 된 에드워드, 펙의 딸 킴(위노라 라이더)을 만나 첫눈에 사랑에 빠지지만 그녀의 남자친구 질투와 이웃들의 편견으로 도둑으로 몰리며 더 큰 오해에 빠지게 되는데..."
9,10115,2015,용형호제 2 - 비룡계획,"유명한 보물 사냥꾼 '재키'는 백작에게서 2차 세계 대전 때 독일 정부의 명령으로 250만 톤 규모의 황금을 중동 사막에 숨겨둔 황금을 찾으라는 의뢰를 받게 되고, 황금 기지를 열 수 있는 유일한 열쇠를 건네받게 된다. 재키는 백작의 소개로 여류 사학자 '에이다'를 만나고 황금을 숨기러 갔다가 죽음에 이른 장교 중 한 사람인 할아버지를 찾으러 가는 '엘사', 공예품을 파는 사막을 사랑하는 일본 소녀 '모모코' 와 함께 사막을 향해 떠난다. 하지만 그동안 황금을 노리고 있었던 중동 악당들의 위협으로 인해 재키 일행은 호텔 안에서 위험한 총격전을 벌이고 사막의 노예시장에 팔려가는 등 수 많은 난관에 부딪히게 된다. 우여곡절 끝에 목적지인 황금 기지에 당도하지만, 예전 황금을 숨기는 임무를 수행했던 병사 중 한 명인 '아돌프'가 불구가 된 채 자신의 부하들과 함께 먼저 와있다는 것을 알게 된다. 수적 열세에 재키는 그들에게 열쇠를 빼앗기고 황금마저 내어줘야 할 위기에 처하게 되는데..."
